mal_id,title_english,type,source,episodes,duration,rating,score,scored_by,rank,popularity,members,favorites,year,demographics,studios,genres,themes
1,Cowboy Bebop,TV,Original,26,24,R - 17+ (violence & profanity),8.75,1062212,49,41,2057323,89639,1998,[],['Sunrise'],"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Space']"
5,Cowboy Bebop: The Movie,Movie,Original,1,115,R - 17+ (violence & profanity),8.38,232423,240,659,412138,1785,,[],['Bones'],"['Action', 'Sci-Fi']","['Adult Cast', 'Space']"
6,Trigun,TV,Manga,26,24,PG-13 - Teens 13 or older,8.22,401751,424,266,834750,17659,1998,['Shounen'],['Madhouse'],"['Action', 'Adventure', 'Sci-Fi']",['Adult Cast']
7,Witch Hunter Robin,TV,Original,26,25,PG-13 - Teens 13 or older,7.26,46713,3603,1993,129851,712,2002,[],['Sunrise'],"['Action', 'Drama', 'Mystery', 'Supernatural']",['Detective']
8,Beet the Vandel Buster,TV,Manga,52,23,PG - Children,7.05,7355,4849,5888,17035,18,2004,['Shounen'],['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",[]
15,,TV,Manga,145,23,PG-13 - Teens 13 or older,7.92,93825,891,1421,196237,2128,2005,['Shounen'],['Gallop'],['Sports'],['Team Sports']
16,Honey and Clover,TV,Manga,24,23,PG-13 - Teens 13 or older,7.99,87398,766,984,285807,4205,2005,['Josei'],['J.C.Staff'],"['Comedy', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Visual Arts']"
17,,TV,Manga,52,23,PG-13 - Teens 13 or older,7.62,14460,1736,4894,27143,243,2002,['Shounen'],['Nippon Animation'],['Sports'],['Team Sports']
18,,TV,Manga,24,27,PG-13 - Teens 13 or older,8.18,119942,483,1303,215607,1440,2004,['Seinen'],['A.C.G.T.'],"['Action', 'Drama']",['Racing']
19,Monster,TV,Manga,74,24,R+ - Mild Nudity,8.89,512370,26,115,1329606,62093,2004,['Seinen'],['Madhouse'],"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Psychological']"
20,Naruto,TV,Manga,220,23,PG-13 - Teens 13 or older,8.02,2142819,726,9,3118601,86513,2002,['Shounen'],['Studio Pierrot'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts']
21,One Piece,TV,Manga,,24,PG-13 - Teens 13 or older,8.73,1530897,55,17,2681729,252104,1999,['Shounen'],['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",[]
22,The Prince of Tennis,TV,Manga,178,22,PG-13 - Teens 13 or older,7.86,88996,1051,1412,198063,3076,2001,['Shounen'],['Trans Arts'],['Sports'],['School']
23,,TV,Manga,12,23,PG - Children,6.69,1903,7029,9116,5718,7,2004,['Shounen'],['Toei Animation'],['Sports'],['Combat Sports']
24,School Rumble,TV,Manga,26,23,PG-13 - Teens 13 or older,7.89,155148,977,806,345410,5408,2004,['Shounen'],['Studio Comet'],"['Comedy', 'Romance']","['Gag Humor', 'Love Polygon', 'School']"
25,Desert Punk,TV,Manga,24,24,R - 17+ (violence & profanity),7.37,58213,2911,1762,152047,880,2004,['Seinen'],['Gonzo'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi']",[]
26,Texhnolyze,TV,Original,22,23,R+ - Mild Nudity,7.77,64222,1276,969,290663,5708,2003,[],['Madhouse'],"['Avant Garde', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Organized Crime', 'Psychological']"
27,Trinity Blood,TV,Light novel,24,24,R - 17+ (violence & profanity),7.3,84348,3334,1396,200626,1428,2005,[],['Gonzo'],"['Action', 'Fantasy', 'Sci-Fi']",['Vampire']
28,Yakitate!! Japan,TV,Manga,69,24,PG-13 - Teens 13 or older,7.91,43354,931,2318,105369,951,2004,['Shounen'],['Sunrise'],"['Comedy', 'Gourmet']",[]
29,,TV,Manga,26,24,PG-13 - Teens 13 or older,7.58,8803,1912,5016,25596,207,2004,['Seinen'],['Studio Deen'],"['Action', 'Drama', 'Sci-Fi']","['Adult Cast', 'Historical', 'Military', 'Time Travel']"
30,Neon Genesis Evangelion,TV,Original,26,24,PG-13 - Teens 13 or older,8.37,1215095,259,44,2029741,117883,1995,[],"['Gainax', 'Tatsunoko Production']","['Avant Garde', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']"
31,Neon Genesis Evangelion: Death & Rebirth,Movie,Original,1,104,R - 17+ (violence & profanity),7.5,155042,2272,1001,280725,813,,[],"['Gainax', 'Production I.G', 'Tatsunoko Production']","['Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']"
32,Neon Genesis Evangelion: The End of Evangelion,Movie,Original,1,86,R+ - Mild Nudity,8.57,697250,128,178,1043501,32509,,[],"['Gainax', 'Production I.G']","['Avant Garde', 'Drama', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']"
33,Berserk,TV,Manga,25,23,R+ - Mild Nudity,8.61,413789,110,304,767371,31689,1997,['Seinen'],['OLM'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']","['Gore', 'Military', 'Psychological']"
43,Ghost in the Shell,Movie,Manga,1,82,R+ - Mild Nudity,8.27,362482,355,337,705198,14357,,['Seinen'],['Production I.G'],"['Award Winning', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Mecha', 'Psychological']"
44,Samurai X: Trust and Betrayal,OVA,Manga,4,29,R - 17+ (violence & profanity),8.7,144750,68,959,293053,6457,,['Shounen'],['Studio Deen'],"['Action', 'Drama', 'Romance']","['Adult Cast', 'Historical', 'Samurai']"
45,Rurouni Kenshin,TV,Manga,94,25,PG-13 - Teens 13 or older,8.28,248489,349,486,525548,10413,1996,['Shounen'],"['Gallop', 'Studio Deen']","['Action', 'Comedy', 'Romance']","['Historical', 'Samurai']"
46,Samurai X: The Motion Picture,Movie,Manga,1,90,R - 17+ (violence & profanity),7.56,28793,1988,3404,55543,97,,['Shounen'],['Gallop'],['Drama'],"['Historical', 'Samurai']"
